make,model,price,year,mileage,condition,city,state,country,condition2,vin,make,model,item_ID
Ford,Mustang GT,33990,2016,1670,Used,La Mesa,California,United States,Used ,Used ,"“This Mustang has a V8, 5.0L high output engine. 1 owner vehicle, Clean Carfax history, never been in an accident. The manual transmission in this vehicle will give you exceptional control of your driving experience. This Mustang excites both driver and bystanders with a silver metallic exterior and black interior. Anti-lock brakes are standard on this 2016 Mustang. It has air conditioning that feels like a walk-in the refrigerator. Black accent ($995 option)as well as black factory roof ($695)option to compliment this stylish body. This black and silver color combination will be sure to turn heads. All factory equipment, never messed with, excellent condition line new, less than 1,670 miles adult driven. 435 HP/400LB,-FT. of torque !!! 19"" factory painted black aluminum wheels, reverse sensing system, back up camera.... Have to let it go due to pregnant wife with 3rd child... Come see for yourself !”","“This Mustang has a V8, 5.0L high output engine. 1 owner vehicle, Clean Carfax history, never been in an accident. The manual transmission in this vehicle will give you exceptional control of your driving experience. This Mustang excites both driver and bystanders with a silver metallic exterior and black interior. Anti-lock brakes are standard on this 2016 Mustang. It has air conditioning that feels like a walk-in the refrigerator. Black accent ($995 option)as well as black factory roof ($695)option to compliment this stylish body. This black and silver color combination will be sure to turn heads. All factory equipment, never messed with, excellent condition line new, less than 1,670 miles adult driven. 435 HP/400LB,-FT. of torque !!! 19"" factory painted black aluminum wheels, reverse sensing system, back up camera.... Have to let it go due to pregnant wife with 3rd child... Come see for yourself !”",2.52316E+11
Maserati,Other Base Coupe 2-Door,49888,2008,19537,Used,San Diego,California,United States,Used,ZAMGJ45A080038887,Maserati,Other,3.22027E+11
 BMW,M6 Base Sedan 4-Door ,87900,2014,17318,Used,Woodland Hills,California,United States,Used,WBS6C9C51ED466770,BMW,M6,2.52315E+11
Chevrolet,Corvette Base Coupe 2-Door,15000,1982,47261,Used,Merrillville,Indiana,United States,Used,1G1AY8783C5114422,Chevrolet,Corvette,3.318E+11
Chevrolet,Other Pickups,16500,1953,164,Used,Thousand Oaks,California,United States,Used,H530016915,Chevrolet,Other Pickups,2.22047E+11
BMW,M3 Base Coupe 2-Door,49999,2013,15135,Used,Costa Mesa,California,United States,Used,WBSKG9C51DE799112,BMW,M3,3.31795E+11
Mercedes-Benz,S-Class Base Sedan 4-Door,4995,2001,185450,Used,La Mirada,California,United States,Used,WDBNG70J71A179120,Mercedes-Benz,S-Class,2.91707E+11
Chevrolet,Corvette 2dr Z06 Hard,18750,2001,41651,Used,Costa Mesa,California,United States,Used,1G1YY12S015111290,Chevrolet,Corvette,2.6233E+11
 Ford,Mustang Mustang ,21995,1966,0,Used,Temecula,California,United States,Used,1966,Automatic,Cab & Chassis,1.51988E+11
Plymouth,Other Base 4 Door Sedan,3300,1956,81663,Used,Ontario,California,United States,Used ,Used ,"“To the best of my knowledge most of the Trim is in the trunk. I'm including NEW Driver Side Rocker, New Door Handles, gas cap. 2 new Windows have been installed!! Keep in mind this is almost a 60 year old American Classic, there's signs of some rust but she is all original!!”","“To the best of my knowledge most of the Trim is in the trunk. I'm including NEW Driver Side Rocker, New Door Handles, gas cap. 2 new Windows have been installed!! Keep in mind this is almost a 60 year old American Classic, there's signs of some rust but she is all original!!”",1.21919E+11
BMW,M3 Base Coupe 2-Door,35000,2008,63793,Used,Murrieta,California,United States,Used,WBSWD93558PY40622,BMW,M3,1.82052E+11
Chevrolet,Corvette CONVERTIBLE,45500,1963,108000,Used,San Clemente,California,United States,Used,30867S12XXXX,Chevrolet,Corvette,3.22034E+11
Chevrolet,Other Pickups Big Window,21500,1955,1500,Used,Thousand Oaks,California,United States,Used,H255K038852,Chevrolet,Other Pickups,2.22042E+11
Chevrolet,Corvette Grand Sport,32000,2010,73680,Used,Torrance,California,United States,Used,1G1YW3DW1A5103863,Chevrolet,Corvette,1.41909E+11
Ford,F-250 XLT,23900,2004,45453,Used,San Marcos,California,United States,Used,1FTNX21P84ED50087,Ford,F-250,2.72161E+11
Bentley,Other Base Sedan 4-Door,129888,2011,45108,Used,Corona,California,United States,Used,SCBBB7ZHXBC015890,Bentley,Other,1.82046E+11
Mercedes-Benz,C-Class C250,31860,2014,13742,Certified pre-owned,Beverly Hills,California,United States,Certified pre-owned,WDDGF4HB0EG247615,Mercedes-Benz,C-Class,2.31874E+11
 Audi,RS 5 Coupe Quattro S Tronic Base Coupe 2-Door ,52500,2014,28139,Used,Seal Beach,California,United States,Used,wuac6afr8ea901967,Audi,RS 5 Coupe Quattro S Tronic,2.31875E+11
Ford,F-350 XL Cab & Chassis 2-Door,5800,2006,120243,Used,Los Angeles,California,United States,Used ,Used ,“Normal wear and tear for a 2006 Ford F-350.”,“Normal wear and tear for a 2006 Ford F-350.”,1.72127E+11
Ford,Ford GT 2dr Coupe,489040,2006,618, , ,,, , , , , 
Ford,Mustang,27500,2015,9500,Used,North Hollywood,California,United States,Used,1FA6P8TH5F5418464,Ford,Mustang,2.62323E+11
Chevrolet,Styleline Series 1 2 Door Coupe,19900,1951,81200,Used,Las Vegas,Nevada,United States,Used ,Used ,“older restoration so usual nicks and minor scratches. from bumper discolored. original not working.. minor stuff”,“older restoration so usual nicks and minor scratches. from bumper discolored. original not working.. minor stuff”,1.51992E+11
Porsche,911 Carrera 4S Coupe 2-Door,24000,2003,98000,Used,San Juan Capistrano,California,United States,Used,WP0AA299X3S623486,Porsche,911,2.62331E+11
Chevrolet,Corvette Z51 2LT,52000,2014,10980,Used,Indio,California,United States,Used,1G1YK2D71E5123843,Chevrolet,Corvette,1.61999E+11
Jaguar,XKR Base Coupe 2-Door,45900,2011,27200,Used,Studio City,California,United States,Used,SAJWA4DC2BMB41672,Jaguar,XKR,3.2203E+11
Mercury,Other Sport Sedan,21995,1951,10550,Used,Gardena,California,United States,Used,51SL23696M,Mercury,Other,2.2205E+11
 BMW,M6 Base Convertible 2-Door ,84900,2013,17248,Used,Woodland Hills,California,United States,Used,WBSLZ9C57DDZ78176,BMW,M6,2.52315E+11
Maserati,Gran Turismo Base Coupe 2-Door,43888,2008,65336,Used,Corona,California,United States,Used,ZAMGJ45A580036892,Maserati,Gran Turismo,1.82046E+11
Ford,Other 4-Door Sedan,59500,1932,53401,Used,Clovis,California,United States,Used,1823217,Ford,4-Door Sedan,2.22031E+11
Chevrolet,Corvette C3,32500,1968,72709,Used,Encinitas,California,United States,Used,19467S406145,Chevrolet,Corvette,2.22043E+11
