"model","price","year","mileage"
"New listing Ford: Thunderbird Base Hardtop 2-Door","16,495.00","1963","82,580"
"New listing Chevrolet: Corvette Base Coupe 2-Door","2,403.99","1998","30,760"
"Chevrolet: Corvette Base Coupe 2-Door","16,000.00","2004","60,002"
"Ford: F-250 fx4","27,500.00","2008","110,000"
"Ford: F-250 LARIAT","62,500.00","2015","3,080"
"Ford: Other Pickups 2 door","10,200.00","1933","192"
"Ferrari: 599 Fiorano Coupe 2-Door","159,888.00","2009","22,077"
"Chevrolet: Corvette 2dr Cpe Z06","30,000.00","2009","113,774"
"Mercedes-Benz: CLK-Class 2 door","9,000.00","2005","100,837"
"Ford: Mustang","50,000.00","1965","32,868"
"New listing Chevrolet: Corvette","510.00","1987","99,082"
"Chevrolet: Corvette 2dr Convertible","97,800.00","2016","389"
"BMW: M5 4dr Sedan","115,485.00","2016","0"
"Chevrolet: Camaro Base coupe 2 door","8,600.00","1968","999,999"
" Jaguar: XJ12 Base Sedan 4-Door ","2,500.00","1995","114,272"
"New listing Ford: Phaeton 4-DR","35,000.00","1934","58,100"
"Ferrari: Other Scuderia Coupe 2-Door","219,999.00","2008","15,983"
"Chevrolet: Corvette STING RAY","49,500.00","1966","64,000"
"New listing Chevrolet: Corvette STINGRAY","45,100.00","1965","41,020"
"Ford: Mustang Base Convertible 2-Door","1,975.00","1996","101,363"
"Ford: Other 2 DOOR CUSTOM","10,500.00","1950","51,783"
"Ford: Other","30,000.00","1932","1,111"
"Chevrolet: Corvette Base Convertible 2-Door","7,200.00","2009","14,346"
"New listing Chevrolet: Astro 3dr RWD","200.00","1999","167,723"
"Ferrari: 458 2dr Coupe","199,458.00","2010","9,462"
"Chevrolet: Other Pickups 3100","14,100.00","1954","14"
"Chevrolet: Bel Air/150/210 Base Convertible 2-Door","51,400.00","1956","1,000"
"Ford: F-150","2,026.00","2002","195,000"
"Ford: Escape 4dr 3.0L XLT","3,250.00","2006","75,816"
"New listing Chevrolet: Corvette 25th Anniversary","7,600.00","1978","24,500"
"Ford: Thunderbird 2 door hardtop","28,000.00","1958","71,989"
"Chevrolet: Corvette Z06 Coupe 2-Door","21,975.00","2003","82,250"
"Ford: Mustang GT Coupe 2-Door","10,600.00","2006","5,700"
" Ford: F-150 2 DOOR PICKUP ","6,167.00","2011","59,657"
"Chevrolet: Camaro Base Hardtop 2-Door","32,600.00","1969","700"
"New listing  Porsche: 911 Turbo Coupe 2-Door ","124,850.00","2014","11,300"
"Toyota: Previa 4dr Wagon LE","621.99","1992","201,032"
"New listing  Pontiac: Firebird 2dr Coupe Tr ","12,000.00","1981","61,000"
"Cadillac: Fleetwood 4dr Sedan","1,247.22","1990","85,672"
"Ford: Other Coupe 2 Door","22,100.00","1932","0"
"Chevrolet: Camaro SS Coupe 2-Door","37,000.00","2010","29,000"
"Chevrolet: Corvette Base Hatchback 2-Door","5,001.00","1994","83,188"
"BMW: 3-Series Base Sedan 4-Door","100,000.00","2006","100,000"
"Ford: Mustang NO RESERVE","38,200.00","1969","37,299"
"Mercedes-Benz: GL-Class Base Sport Utility 4-Door","99,995.00","2015","3,019"
"Ford: Mustang GT Coupe 2-Door","3,150.00","2000"," "
"New listing  Chevrolet: Corvette Base Convertible 2-Door ","6,737.25","2007","44,700"
"Ford: Mustang 2 DOOR","5,600.00","1966","999,999"
"Mercedes-Benz: S-Class Base Sedan 4-Door","35,885.00","2011","64,383"
"Cadillac: XTS Premium Sedan 4-Door","34,999.00","2014","9,600"
"Toyota: Other Tacoma, Pickup, 4x4, SR5,SFI, V6, California","3,350.00","1994","216,510"
"Chevrolet: Corvette Base Hatchback 2-Door","7,700.00","1999","151,482"
"Mercedes-Benz: C-Class C250 Sedan","2,700.00","2013","17,897"
" Ford: F-250 KING RANCH 4 ","19,900.00","2004","106,815"
"Ford: F-150 Reg. Cab Long Bed 2WD","250.00","1989","174,000"
"BMW: i8 Base Coupe 2-Door","129,885.00","2015","917"
"Chevrolet: Corvette Convertible, LS1 345HP, Automatic","7,600.00","2001","186,593"
"Mercedes-Benz: SLK-Class SLK250","3,798.00","2013","19,980"
"Chevrolet: Camaro","2,000.00","1986","133,600"
"Chevrolet: Corvette","58,500.00","1964","28,864"
"Chevrolet: C-10 Silverado","8,500.00","1979","143,000"
"Toyota: Tacoma LIMITED","35,900.00","2016","69"
"Ford: Crown Victoria Police Interceptor Sedan 4-Door","6,500.00","2005","94,000"
"New listing  Ford: F-650 Chassis Super CrewZer ","1,000.00","2001","190,500"
"Chevrolet: Impala base coupe 2-door","7,200.00","1967","56,973"
"New listing Ford: Other 2 DR COUPE","610.00","1978","88,801"
"Ford: Mustang Base Convertible 2-Door","7,200.00","2006"," "
"Chevrolet: Other Pickups Commercial Dump Truck","930.00","1953","0"
"Ford: Mustang Anniversary GT","4,750.00","2004","145,562"
"New listing Chevrolet: Other Pickups Deluxe Trim","1,225.00","1954","1"
"New listing Chevrolet: Camaro 2SS","11,211.00","2011","23,385"
"Chevrolet: Corvette Base Convertible 2-Door","25,900.00","2005","27,300"
" Pontiac: Firebird 2 door coupe with hood scoops ","34,899.00","1968","11,300"
"Chevrolet: Corvette Base Hatchback 2-Door","8,200.00","1992","36,200"
" Ford: Other Base Sedan 2-Door ","925.00","1979","125,000"
